-4154040.2579884594	  inf
-3751442.3008563588	9.69172e-02
-3694270.9068120299	1.52398e-02
-3564347.3610997563	3.51689e-02
-3458002.3443666031	2.98358e-02
-3403463.2169815707	1.57719e-02
-3378017.6797083835	7.47637e-03
-3365320.3408539109	3.75881e-03
-3358113.6812237720	2.14145e-03
-3353437.1786608160	1.39260e-03
-3350153.1755463053	9.79295e-04
-3347755.6590795573	7.15644e-04
-3345892.9430366214	5.56407e-04
-3344344.4858080666	4.62793e-04
-3343004.7117625671	4.00609e-04
-3341876.3219946162	3.37538e-04
-3340863.9973263838	3.02921e-04
-3339957.1434825058	2.71443e-04
-3339138.0547641548	2.45239e-04
-3338385.4288041065	2.25395e-04
-3337692.3850409063	2.07598e-04
-3337030.3455094518	1.98352e-04
-3336450.6754398253	1.73708e-04
-3335906.4289415241	1.63121e-04
-3335404.9013414797	1.50342e-04
-3334982.4057355300	1.26670e-04
-3334588.5608837735	1.18095e-04
-3334211.6920542927	1.13018e-04
-3333856.8761119330	1.06417e-04
-3333507.9692465696	1.04656e-04
-3333177.7348966291	9.90651e-05
